,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,MONTH,DAY,PDO,AMO
38,1944-12-29,2.0,17.0,60.0,42.0,15.0,17.0,12,29,-0.30387096774193545,0.26567741935483874
39,1944-12-30,1.01,8.0,68.0,41.0,17.0,21.0,12,30,-0.29129032258064513,0.2652258064516129
40,1944-12-31,0.84,6.0,74.0,41.0,3.0,7.0,12,31,-0.2787096774193548,0.2647741935483871
41,1945-01-01,0.0,0.0,74.0,29.0,5.0,19.0,01,01,-0.2661290322580645,0.2643225806451613
42,1945-01-02,0.0,0.0,69.0,29.0,4.0,15.0,01,02,-0.2535483870967742,0.26387096774193547
43,1945-01-03,0.0,0.0,65.0,31.0,14.0,24.0,01,03,-0.24096774193548384,0.2634193548387097
44,1945-01-04,0.0,0.0,62.0,33.0,19.0,25.0,01,04,-0.22838709677419355,0.2629677419354839
45,1945-01-05,0.0,0.0,59.0,46.0,21.0,26.0,01,05,-0.21580645161290318,0.26251612903225807
46,1945-01-06,0.58,6.0,65.0,39.0,19.0,21.0,01,06,-0.20322580645161287,0.26206451612903225
47,1945-01-07,0.93,2.0,67.0,29.0,19.0,27.0,01,07,-0.19064516129032255,0.26161290322580644
48,1945-01-08,0.29,1.5,69.0,34.0,27.0,30.0,01,08,-0.17806451612903224,0.2611612903225807
49,1945-01-09,0.0,0.0,64.0,40.0,24.0,31.0,01,09,-0.16548387096774192,0.26070967741935486
50,1945-01-10,0.0,0.0,61.0,51.0,30.0,44.0,01,10,-0.1529032258064516,0.26025806451612904
51,1945-01-11,0.0,0.0,60.0,44.0,21.0,25.0,01,11,-0.1403225806451613,0.2598064516129032
52,1945-01-12,0.0,0.0,60.0,35.0,19.0,23.0,01,12,-0.12774193548387092,0.2593548387096774
53,1945-01-13,0.0,0.1,57.0,48.0,20.0,29.0,01,13,-0.1151612903225806,0.25890322580645164
54,1945-01-14,0.0,0.0,58.0,45.0,25.0,27.0,01,14,-0.10258064516129028,0.2584516129032258
55,1945-01-15,0.0,0.0,58.0,44.0,22.0,38.0,01,15,-0.09,0.258
56,1945-01-16,1.25,7.0,65.0,38.0,19.0,26.0,01,16,-0.09806451612903225,0.26087096774193547
57,1945-01-17,0.0,0.0,65.0,32.0,12.0,15.0,01,17,-0.10612903225806451,0.263741935483871
58,1945-01-18,0.25,2.0,67.0,39.0,13.0,21.0,01,18,-0.11419354838709678,0.26661290322580644
59,1945-01-19,0.0,0.0,67.0,34.0,3.0,4.0,01,19,-0.12225806451612903,0.26948387096774196
60,1945-01-20,0.0,0.0,64.0,35.0,3.0,13.0,01,20,-0.13032258064516128,0.2723548387096774
61,1945-01-21,0.0,0.0,62.0,29.0,5.0,8.0,01,21,-0.13838709677419353,0.27522580645161293
62,1945-01-22,0.0,0.0,60.0,31.0,8.0,18.0,01,22,-0.1464516129032258,0.2780967741935484
63,1945-01-23,0.0,0.0,60.0,36.0,15.0,18.0,01,23,-0.15451612903225806,0.2809677419354839
64,1945-01-24,0.0,0.0,60.0,40.0,13.0,15.0,01,24,-0.1625806451612903,0.28383870967741937
65,1945-01-25,0.0,0.0,58.0,34.0,10.0,21.0,01,25,-0.1706451612903226,0.2867096774193548
66,1945-01-26,0.0,0.0,58.0,36.0,14.0,25.0,01,26,-0.17870967741935484,0.28958064516129034
67,1945-01-27,0.0,0.0,56.0,34.0,8.0,12.0,01,27,-0.1867741935483871,0.29245161290322585
68,1945-01-28,0.0,0.0,56.0,24.0,6.0,11.0,01,28,-0.19483870967741934,0.2953225806451613
69,1945-01-29,0.0,0.0,56.0,28.0,9.0,17.0,01,29,-0.2029032258064516,0.2981935483870968
70,1945-01-30,0.0,0.0,56.0,34.0,11.0,18.0,01,30,-0.21096774193548387,0.3010645161290323
71,1945-01-31,0.0,0.0,56.0,29.0,15.0,24.0,01,31,-0.21903225806451612,0.30393548387096775
72,1945-02-01,0.0,2.0,58.0,38.0,10.0,22.0,02,01,-0.22709677419354837,0.30680645161290326
73,1945-02-02,0.9,5.0,63.0,33.0,22.0,30.0,02,02,-0.23516129032258062,0.3096774193548387
74,1945-02-03,1.28,8.0,71.0,34.0,21.0,26.0,02,03,-0.2432258064516129,0.31254838709677424
75,1945-02-04,0.48,3.0,74.0,28.0,15.0,20.0,02,04,-0.25129032258064515,0.3154193548387097
76,1945-02-05,0.0,0.0,74.0,32.0,20.0,29.0,02,05,-0.2593548387096774,0.31829032258064516
77,1945-02-06,0.48,6.0,80.0,32.0,12.0,14.0,02,06,-0.2674193548387097,0.3211612903225807
78,1945-02-07,0.19,2.0,82.0,34.0,8.0,19.0,02,07,-0.27548387096774196,0.3240322580645162
79,1945-02-08,0.0,0.0,74.0,36.0,19.0,34.0,02,08,-0.2835483870967742,0.32690322580645165
80,1945-02-09,0.51,7.0,86.0,40.0,18.0,21.0,02,09,-0.29161290322580646,0.3297741935483871
81,1945-02-10,0.0,0.0,84.0,29.0,13.0,21.0,02,10,-0.2996774193548387,0.3326451612903226
82,1945-02-11,0.0,1.0,85.0,31.0,14.0,21.0,02,11,-0.30774193548387097,0.3355161290322581
83,1945-02-12,0.24,2.0,87.0,29.0,20.0,26.0,02,12,-0.3158064516129032,0.3383870967741936
84,1945-02-13,0.54,4.0,91.0,29.0,22.0,28.0,02,13,-0.32387096774193547,0.34125806451612906
85,1945-02-14,0.39,3.0,94.0,33.0,28.0,30.0,02,14,-0.3319354838709677,0.34412903225806457
86,1945-02-15,0.0,0.0,94.0,30.0,9.0,12.0,02,15,-0.34,0.34700000000000003
87,1945-02-16,0.0,0.0,93.0,34.0,10.0,12.0,02,16,-0.33,0.3475714285714286
88,1945-02-17,0.0,0.0,88.0,29.0,12.0,21.0,02,17,-0.32,0.3481428571428572
89,1945-02-18,0.54,7.0,95.0,29.0,13.0,19.0,02,18,-0.31000000000000005,0.34871428571428575
90,1945-02-19,0.89,11.0,106.0,29.0,18.0,20.0,02,19,-0.30000000000000004,0.3492857142857143
91,1945-02-20,0.0,0.0,104.0,30.0,7.0,10.0,02,20,-0.29000000000000004,0.34985714285714287
92,1945-02-21,0.48,6.0,110.0,24.0,6.0,9.0,02,21,-0.28,0.3504285714285714
93,1945-02-22,0.0,0.0,106.0,19.0,2.0,10.0,02,22,-0.27,0.35100000000000003
94,1945-02-23,0.0,0.0,102.0,34.0,9.0,12.0,02,23,-0.26,0.3515714285714286
95,1945-02-24,0.0,0.0,100.0,32.0,10.0,17.0,02,24,-0.25,0.35214285714285715
96,1945-02-25,0.0,0.0,97.0,28.0,9.0,11.0,02,25,-0.24000000000000002,0.35271428571428576
97,1945-02-26,0.0,0.0,97.0,31.0,4.0,9.0,02,26,-0.23000000000000004,0.3532857142857143
98,1945-02-27,0.0,0.0,97.0,30.59722222222222,13.944444444444445,20.62121212121212,02,27,-0.22000000000000003,0.35385714285714287
99,1945-02-28,0.0,0.0,95.0,34.0,8.0,18.0,02,28,-0.21000000000000002,0.3544285714285714
100,1945-03-01,0.0,0.0,92.0,36.0,14.0,18.0,03,01,-0.2,0.355
101,1945-03-02,0.54,5.0,97.0,38.0,17.0,19.0,03,02,-0.19000000000000003,0.3555714285714286
102,1945-03-03,0.3,4.0,101.0,31.0,11.0,12.0,03,03,-0.18000000000000002,0.35614285714285715
103,1945-03-04,0.66,5.0,106.0,20.0,12.0,19.0,03,04,-0.17,0.3567142857142857
104,1945-03-05,0.2,8.0,114.0,26.0,2.0,6.0,03,05,-0.16000000000000003,0.3572857142857143
105,1945-03-06,0.17,2.0,116.0,25.0,-4.0,4.0,03,06,-0.15000000000000002,0.3578571428571429
106,1945-03-07,0.49,5.0,116.0,32.0,4.0,18.0,03,07,-0.14,0.35842857142857143
107,1945-03-08,0.0,0.0,120.0,30.0,9.0,19.0,03,08,-0.13000000000000003,0.359
108,1945-03-09,0.0,0.0,115.0,41.0,17.0,19.0,03,09,-0.12000000000000002,0.35957142857142854
109,1945-03-10,0.0,0.0,111.0,51.0,18.0,24.0,03,10,-0.11000000000000001,0.36014285714285715
110,1945-03-11,0.0,0.0,106.0,46.0,24.0,31.0,03,11,-0.10000000000000003,0.3607142857142857
111,1945-03-12,0.0,0.0,104.0,49.0,24.0,31.0,03,12,-0.09000000000000002,0.36128571428571427
112,1945-03-13,0.0,1.0,100.0,49.0,25.0,34.0,03,13,-0.08000000000000002,0.3618571428571429
113,1945-03-14,0.0,1.0,100.0,38.0,27.0,29.0,03,14,-0.07,0.36242857142857143
114,1945-03-15,1.06,4.0,104.0,32.0,6.0,19.0,03,15,-0.06,0.363
115,1945-03-16,0.0,10.0,114.0,33.0,10.0,14.0,03,16,-0.04806451612903226,0.35393548387096774
116,1945-03-17,0.0,5.0,119.0,28.0,11.0,20.0,03,17,-0.03612903225806451,0.3448709677419355
117,1945-03-18,1.7,3.0,122.0,22.0,8.0,9.0,03,18,-0.024193548387096767,0.33580645161290323
118,1945-03-19,0.0,0.0,120.0,39.0,6.0,9.0,03,19,-0.012258064516129027,0.326741935483871
119,1945-03-20,0.0,0.0,118.0,45.0,8.0,22.0,03,20,-0.00032258064516128837,0.3176774193548387
120,1945-03-21,0.0,0.0,114.0,49.0,22.0,33.0,03,21,0.011612903225806465,0.3086129032258064
121,1945-03-22,0.0,0.0,110.0,49.0,19.0,34.0,03,22,0.023548387096774204,0.29954838709677417
122,1945-03-23,0.58,2.0,112.0,45.0,21.0,23.0,03,23,0.03548387096774194,0.2904838709677419
123,1945-03-24,0.37,7.0,119.0,42.0,14.0,16.0,03,24,0.04741935483870968,0.28141935483870967
124,1945-03-25,0.27,0.0,119.0,24.0,15.0,18.0,03,25,0.05935483870967742,0.2723548387096774
125,1945-03-26,0.61,4.0,120.0,56.0,9.0,24.0,03,26,0.07129032258064516,0.2632903225806451
126,1945-03-27,0.0,5.0,125.0,39.0,12.0,15.0,03,27,0.08322580645161293,0.25422580645161286
127,1945-03-28,0.0,7.0,132.0,34.63235294117647,17.985294117647058,26.516129032258064,03,28,0.09516129032258067,0.24516129032258063
128,1945-03-29,0.82,0.0,132.0,31.0,14.0,20.0,03,29,0.1070967741935484,0.23609677419354835
129,1945-03-30,0.0,0.0,127.0,36.0,11.0,13.0,03,30,0.11903225806451614,0.2270322580645161
130,1945-03-31,0.0,0.0,122.0,41.0,17.0,24.0,03,31,0.13096774193548388,0.21796774193548385
131,1945-07-01,0.0,0.0,8.0,66.0,53.0,62.0,07,01,0.14290322580645162,0.2089032258064516
132,1945-07-02,0.0,0.0,8.0,66.0,55.0,58.0,07,02,0.15483870967741936,0.19983870967741935
133,1945-07-03,0.0,0.0,8.0,76.0,56.0,67.0,07,03,0.1667741935483871,0.19077419354838707
134,1945-07-04,0.0,0.0,8.0,78.0,65.0,67.0,07,04,0.17870967741935484,0.18170967741935481
135,1945-07-05,0.0,0.0,8.0,84.0,65.0,68.0,07,05,0.1906451612903226,0.17264516129032256
136,1945-07-06,0.0,0.0,8.0,81.0,68.0,70.0,07,06,0.20258064516129032,0.16358064516129028
137,1945-07-07,0.0,0.0,8.0,86.0,66.0,73.0,07,07,0.21451612903225808,0.15451612903225803
138,1945-07-08,0.0,0.0,8.0,74.0,61.0,69.0,07,08,0.22645161290322585,0.14545161290322578
139,1945-07-09,0.0,0.0,8.0,70.0,58.0,61.0,07,09,0.23838709677419356,0.13638709677419353
140,1945-07-10,0.04,0.0,8.0,64.0,52.0,58.0,07,10,0.25032258064516133,0.12732258064516128
141,1945-07-11,0.0,0.0,8.0,74.0,58.0,63.0,07,11,0.26225806451612904,0.118258064516129
142,1945-07-12,0.0,0.0,8.0,75.0,62.0,65.0,07,12,0.2741935483870968,0.10919354838709672
143,1945-07-13,0.0,0.0,8.0,83.0,65.0,69.0,07,13,0.2861290322580645,0.10012903225806447
144,1945-07-14,0.0,0.0,8.0,74.0,64.0,65.0,07,14,0.2980645161290323,0.09106451612903221
145,1945-07-15,0.01,0.0,8.0,81.0,54.0,72.0,07,15,0.31,0.08199999999999999
146,1945-07-16,0.0,0.0,8.0,76.0,64.0,66.0,07,16,0.2803225806451613,0.08277419354838708
147,1945-07-17,0.0,0.0,8.0,79.0,64.0,71.0,07,17,0.2506451612903226,0.08354838709677419
148,1945-07-18,0.01,0.0,8.0,79.0,49.0,68.0,07,18,0.22096774193548388,0.08432258064516128
149,1945-07-19,0.0,0.0,8.0,77.0,57.0,69.0,07,19,0.19129032258064516,0.08509677419354837
150,1945-07-20,0.0,0.0,8.0,83.0,64.0,72.0,07,20,0.16161290322580646,0.08587096774193548
151,1945-07-21,0.01,0.0,8.0,92.0,70.0,77.0,07,21,0.13193548387096776,0.08664516129032257
152,1945-07-22,0.01,0.0,8.0,79.0,60.0,75.0,07,22,0.10225806451612904,0.08741935483870966
153,1945-07-23,0.07,0.0,8.0,77.0,43.0,73.0,07,23,0.07258064516129034,0.08819354838709677
154,1945-07-24,0.0,0.0,8.0,84.0,63.0,71.0,07,24,0.04290322580645162,0.08896774193548386
155,1945-07-25,0.0,0.0,8.0,84.0,63.0,68.0,07,25,0.01322580645161292,0.08974193548387097
156,1945-07-26,0.0,0.0,8.0,88.0,66.0,78.0,07,26,-0.016451612903225776,0.09051612903225806
157,1945-07-27,0.0,0.0,8.0,94.0,56.0,74.0,07,27,-0.04612903225806447,0.09129032258064515
158,1945-07-28,0.0,0.0,8.0,84.0,64.0,74.0,07,28,-0.07580645161290317,0.09206451612903226
159,1945-07-29,0.0,0.0,8.0,79.0,62.0,71.0,07,29,-0.10548387096774192,0.09283870967741935
160,1945-07-30,0.01,0.0,8.0,74.0,56.0,69.0,07,30,-0.13516129032258062,0.09361290322580644
161,1945-07-31,0.0,0.0,8.0,81.0,60.0,66.0,07,31,-0.16483870967741932,0.09438709677419355
162,1945-08-01,0.2,0.0,8.0,75.0,59.0,68.0,08,01,-0.19451612903225807,0.09516129032258064
163,1945-08-02,0.0,0.0,8.0,79.0,64.0,70.0,08,02,-0.22419354838709676,0.09593548387096773
164,1945-08-03,0.0,0.0,8.0,77.0,54.0,68.0,08,03,-0.25387096774193546,0.09670967741935484
165,1945-08-04,0.85,0.0,8.0,70.0,52.0,66.0,08,04,-0.28354838709677416,0.09748387096774193
166,1945-08-05,0.48,0.0,8.0,68.0,49.0,57.0,08,05,-0.31322580645161285,0.09825806451612903
167,1945-08-06,0.0,0.0,8.0,74.0,57.0,68.0,08,06,-0.34290322580645155,0.09903225806451613
168,1945-08-07,0.13,0.0,8.0,68.0,48.0,58.0,08,07,-0.37258064516129025,0.09980645161290322
169,1945-08-08,0.47,0.0,8.0,76.0,47.0,67.0,08,08,-0.40225806451612894,0.10058064516129031
170,1945-08-09,0.63,0.0,8.0,72.0,45.0,64.0,08,09,-0.43193548387096764,0.10135483870967742
171,1945-08-10,0.0,0.0,8.0,73.0,56.0,63.0,08,10,-0.46161290322580634,0.10212903225806451
172,1945-08-11,0.0,0.0,8.0,76.0,51.0,69.0,08,11,-0.49129032258064514,0.10290322580645161
173,1945-08-12,0.0,0.0,8.0,79.0,51.0,70.0,08,12,-0.5209677419354839,0.1036774193548387
174,1945-08-13,0.25,0.0,8.0,71.0,44.0,62.0,08,13,-0.5506451612903225,0.1044516129032258
175,1945-08-14,0.27,0.0,8.0,70.0,47.0,62.0,08,14,-0.5803225806451613,0.10522580645161289
176,1945-08-15,0.0,0.0,8.0,72.0,51.0,60.0,08,15,-0.61,0.106
177,1945-08-16,0.0,0.0,8.0,75.0,49.0,64.0,08,16,-0.6335483870967742,0.10848387096774194
178,1945-08-17,0.0,0.0,8.0,74.0,46.0,62.0,08,17,-0.6570967741935484,0.11096774193548387
179,1945-08-18,0.01,0.0,8.0,76.0,49.0,65.0,08,18,-0.6806451612903226,0.1134516129032258
180,1945-08-19,0.83,0.0,8.0,65.0,47.0,57.0,08,19,-0.7041935483870968,0.11593548387096773
181,1945-08-20,0.3,0.0,8.0,65.0,45.0,58.0,08,20,-0.727741935483871,0.11841935483870968
182,1945-08-21,0.0,0.0,8.0,70.0,42.0,60.0,08,21,-0.7512903225806451,0.1209032258064516
183,1945-08-22,0.0,0.0,8.0,74.0,48.0,63.0,08,22,-0.7748387096774194,0.12338709677419354
184,1945-08-23,0.0,0.0,8.0,76.0,56.0,66.0,08,23,-0.7983870967741935,0.12587096774193549
185,1945-08-24,0.0,0.0,8.0,76.0,52.0,65.0,08,24,-0.8219354838709678,0.12835483870967743
186,1945-08-25,0.0,0.0,8.0,80.0,44.0,65.0,08,25,-0.8454838709677419,0.13083870967741934
187,1945-08-26,0.0,0.0,8.0,72.0,44.0,64.0,08,26,-0.8690322580645162,0.13332258064516128
188,1945-08-27,0.16,0.0,8.0,68.0,44.0,58.0,08,27,-0.8925806451612903,0.13580645161290322
189,1945-08-28,0.0,0.0,8.0,79.0,51.0,65.0,08,28,-0.9161290322580645,0.13829032258064516
190,1945-08-29,0.0,0.0,8.0,76.0,52.0,68.0,08,29,-0.9396774193548387,0.1407741935483871
191,1945-08-30,0.03,0.0,8.0,72.0,51.0,63.0,08,30,-0.9632258064516129,0.14325806451612905
192,1945-08-31,0.0,0.0,8.0,81.0,61.0,70.0,08,31,-0.9867741935483871,0.14574193548387096
193,1945-11-01,1.75,6.0,8.0,38.86206896551724,23.896551724137932,29.849056603773583,11,01,-1.0103225806451612,0.1482258064516129
194,1945-11-02,1.0,3.0,11.0,40.48275862068966,21.879310344827587,30.254901960784313,11,02,-1.0338709677419355,0.15070967741935484
195,1945-11-03,0.2,0.2,11.0,40.166666666666664,22.233333333333334,29.346153846153847,11,03,-1.0574193548387099,0.15319354838709678
196,1945-11-04,0.0,0.0,9.0,41.01639344262295,23.524590163934427,30.78846153846154,11,04,-1.080967741935484,0.1556774193548387
197,1945-11-05,0.0,0.0,8.0,40.7,24.033333333333335,30.176470588235293,11,05,-1.104516129032258,0.15816129032258064
198,1945-11-06,0.0,0.0,8.0,40.885245901639344,24.114754098360656,31.403846153846153,11,06,-1.1280645161290324,0.16064516129032258
199,1945-11-07,1.23,13.1,21.0,15.0,15.0,15.0,11,07,-1.1516129032258067,0.16312903225806452
200,1945-11-08,1.19,9.0,22.0,15.0,7.0,8.0,11,08,-1.1751612903225808,0.16561290322580646
201,1945-11-09,0.21,2.1,19.0,12.0,8.0,11.0,11,09,-1.1987096774193549,0.1680967741935484
202,1945-11-10,0.53,4.9,23.0,30.0,11.0,22.0,11,10,-1.222258064516129,0.17058064516129032
203,1945-11-11,0.38,7.2,27.0,34.0,19.0,21.0,11,11,-1.2458064516129033,0.17306451612903226
204,1945-11-12,0.6,11.5,34.0,22.0,13.0,15.0,11,12,-1.2693548387096776,0.1755483870967742
205,1945-11-13,0.75,11.0,40.0,21.0,13.0,14.0,11,13,-1.2929032258064517,0.1780322580645161
206,1945-11-14,0.0,0.0,38.0,29.0,12.0,29.0,11,14,-1.3164516129032258,0.18051612903225805
207,1945-11-15,0.1,1.0,36.0,48.0,28.0,32.0,11,15,-1.34,0.183
208,1945-11-16,1.12,11.0,44.0,33.0,18.0,19.0,11,16,-1.3616666666666668,0.18146666666666667
209,1945-11-17,0.22,4.5,46.0,32.0,18.0,24.0,11,17,-1.3833333333333333,0.17993333333333333
210,1945-11-18,0.24,3.5,42.0,27.0,8.0,11.0,11,18,-1.405,0.1784
211,1945-11-19,0.0,0.0,38.0,33.0,10.0,27.0,11,19,-1.4266666666666667,0.17686666666666667
212,1945-11-20,1.1,13.0,48.0,27.0,9.0,9.0,11,20,-1.4483333333333335,0.17533333333333334
213,1945-11-21,0.0,0.0,45.0,14.0,0.0,8.0,11,21,-1.47,0.17379999999999998
214,1945-11-22,0.0,0.0,42.0,25.0,7.0,23.0,11,22,-1.4916666666666667,0.17226666666666665
215,1945-11-23,0.0,0.0,40.0,48.0,21.0,37.0,11,23,-1.5133333333333334,0.17073333333333332
216,1945-11-24,0.0,0.0,40.0,52.0,21.0,30.0,11,24,-1.5350000000000001,0.1692
217,1945-11-25,0.0,0.0,38.0,45.0,30.0,31.0,11,25,-1.5566666666666666,0.16766666666666666
218,1945-11-26,0.24,3.0,40.0,31.0,17.0,20.0,11,26,-1.5783333333333334,0.16613333333333333
219,1945-11-27,0.0,0.0,38.0,34.0,19.0,29.0,11,27,-1.6,0.1646
220,1945-11-28,0.0,0.0,37.0,50.0,29.0,41.0,11,28,-1.6216666666666666,0.16306666666666667
221,1945-11-29,0.0,0.0,36.0,48.0,36.0,37.0,11,29,-1.6433333333333333,0.16153333333333333
222,1945-11-30,0.23,3.5,38.0,40.0,24.0,25.0,11,30,-1.665,0.15999999999999998
223,1945-12-01,0.17,2.0,39.0,26.0,12.0,14.0,12,01,-1.6866666666666668,0.15846666666666664
224,1945-12-02,0.0,0.0,38.0,29.0,9.0,15.0,12,02,-1.7083333333333335,0.1569333333333333
225,1945-12-03,0.0,0.0,37.0,37.0,14.0,20.0,12,03,-1.73,0.15539999999999998
226,1945-12-04,0.0,0.0,36.0,45.0,20.0,36.0,12,04,-1.7516666666666667,0.15386666666666665
227,1945-12-05,0.0,0.0,35.0,41.0,23.0,24.0,12,05,-1.7733333333333334,0.15233333333333332
228,1945-12-06,0.0,1.0,36.0,28.0,14.0,16.0,12,06,-1.795,0.1508
229,1945-12-07,0.09,1.0,36.0,35.0,14.0,26.0,12,07,-1.8166666666666667,0.14926666666666666
230,1945-12-08,0.51,9.0,43.0,26.0,9.0,9.0,12,08,-1.8383333333333334,0.14773333333333333
231,1945-12-09,0.17,2.0,43.0,11.0,-1.0,1.0,12,09,-1.8599999999999999,0.1462
232,1945-12-10,0.0,0.0,41.0,17.0,-1.0,8.0,12,10,-1.8816666666666668,0.14466666666666667
233,1945-12-11,0.05,2.0,41.0,28.0,7.0,9.0,12,11,-1.9033333333333333,0.1431333333333333
234,1945-12-12,0.0,0.0,40.0,19.0,-1.0,2.0,12,12,-1.925,0.14159999999999998
235,1945-12-13,0.0,0.0,40.0,17.0,-6.0,-3.0,12,13,-1.9466666666666668,0.14006666666666664
236,1945-12-14,0.13,2.0,41.0,16.0,-4.0,-1.0,12,14,-1.9683333333333333,0.13853333333333331
237,1945-12-15,0.0,0.0,40.0,16.0,-3.0,5.0,12,15,-1.99,0.13699999999999998
238,1945-12-16,0.0,0.0,40.0,20.0,5.0,12.0,12,16,-1.961290322580645,0.14148387096774193
239,1945-12-17,0.0,0.0,39.0,29.0,11.0,17.0,12,17,-1.9325806451612904,0.14596774193548387
240,1945-12-18,0.25,2.0,39.0,20.0,5.0,6.0,12,18,-1.9038709677419354,0.15045161290322578
241,1945-12-19,0.0,0.0,39.0,9.0,-4.0,5.0,12,19,-1.8751612903225807,0.15493548387096773
242,1945-12-20,0.0,0.0,38.0,37.0,5.0,26.0,12,20,-1.8464516129032258,0.15941935483870967
243,1945-12-21,0.0,0.0,38.0,43.0,20.0,26.0,12,21,-1.817741935483871,0.1639032258064516
244,1945-12-22,1.38,10.0,48.0,36.0,26.0,30.0,12,22,-1.7890322580645162,0.16838709677419356
245,1945-12-23,1.66,9.5,56.0,31.0,21.0,22.0,12,23,-1.7603225806451612,0.17287096774193547
246,1945-12-24,0.63,7.0,61.0,28.0,20.0,21.0,12,24,-1.7316129032258065,0.17735483870967741
247,1945-12-25,0.19,2.0,60.0,27.0,17.0,21.0,12,25,-1.7029032258064516,0.18183870967741936
248,1945-12-26,1.49,14.0,72.0,25.0,20.0,21.0,12,26,-1.6741935483870969,0.18632258064516127
249,1945-12-27,0.06,1.5,71.0,28.0,10.0,23.0,12,27,-1.645483870967742,0.19080645161290322
250,1945-12-28,1.48,8.0,70.0,40.0,22.0,32.0,12,28,-1.616774193548387,0.19529032258064516
251,1945-12-29,0.96,7.0,74.0,38.0,28.0,29.0,12,29,-1.5880645161290323,0.1997741935483871
252,1945-12-30,0.23,3.0,71.0,34.0,19.0,20.0,12,30,-1.5593548387096774,0.20425806451612905
253,1945-12-31,0.0,0.0,70.0,33.0,13.0,29.0,12,31,-1.5306451612903227,0.208741935483871
